X,Y,OBJECTID,Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude
300436.604000092,7818937.36598158,5927,11152,MUSHAVIRI,Masvingo,Secondary,Gutu,S3,-19.715,31.0959
294484.153108807,7840489.98018197,5928,11153,MBAMBA TUNGAMIRAI,Masvingo,Secondary,Gutu,S3,-19.51973,31.04149
375650.526640193,7821319.71821233,5929,11154,MATOMBO ,Masvingo,Secondary,Gutu,S3,-19.69966,31.81355
287169.275730028,7874589.16077545,5930,11155,MAKOMBORERO ,Masvingo,Secondary,Gutu,S3,-19.21099,30.97562
,,5931,11156,KUSHINGA (NYASHENJE),Masvingo,Secondary,Gutu,S3,,0
307272.366272217,7827410.31912549,5932,11157,GWIRA ,Masvingo,Secondary,Gutu,S3,-19.63915,31.16197
272883.479069771,7828177.88355004,5933,11158,CHATSWORTH SECONDARY ,Masvingo,Secondary,Gutu,S3,-19.62857,30.83426
299324.816992527,7860540.85578369,5934,11159,CHIKWIZA ,Masvingo,Secondary,Gutu,S3,-19.33912,31.08972
293684.699694688,7825045.28108883,5935,11160,CHINDITO ,Masvingo,Secondary,Gutu,S3,-19.65914,31.03218
304346.497406074,7835022.22418189,5936,11161,GADZINGO SECONDARY,Masvingo,Secondary,Gutu,S3,-19.57011,31.13487
,,5937,11162,ALPHA JUSTIN SECONDARY,Masvingo,Secondary,Chiredzi,S3,,0
356204.863075202,7710457.68127669,5938,11163,CHIKWIRIRE ,Masvingo,Secondary,Chiredzi,S3,-20.69985,31.61925
303082.224072141,7692531.22150073,5939,11164,CHISASE,Masvingo,Secondary,Chiredzi,S3,-20.8569,31.10732
416831.172014109,7703540.49575279,5940,11165,CHIYAMBIRO,Masvingo,Secondary,Chiredzi,S3,-20.76603,32.20101
346535.083057592,7687669.83349558,5941,11166,CROWN RANGE,Masvingo,Secondary,Chiredzi,S3,-20.90492,31.52442
392153.193947536,7731872.18600109,5942,11167,JEREZI (J.D. HUNGWE),Masvingo,Secondary,Chiredzi,S3,-20.5088,31.96569
336340.865842211,7700891.75409062,5943,11168,MASIMBAAVANHU,Masvingo,Secondary,Chiredzi,S3,-20.78462,31.42767
342992.787246141,7638647.44779191,5944,11169,MAJIJIMBA,Masvingo,Secondary,Chiredzi,S3,-21.34741,31.48588
357016.570607287,7666318.24884955,5945,11170,MLEME  ,Masvingo,Secondary,Chiredzi,S3,-21.09863,31.62341
372822.540481176,7679379.23495323,5946,11171,NANDI,Masvingo,Secondary,Chiredzi,S3,-20.98181,31.77652
370582.694013652,7712863.22359679,5947,11172,NYANGAMBE  ,Masvingo,Secondary,Chiredzi,S3,-20.67917,31.75746
324609.327341633,7694353.92838674,5948,11173,SAMBA  - (MAPFUPAAMUKA,Masvingo,Secondary,Chiredzi,S3,-20.8426,31.31434
318231.457024678,7535667.37456205,5949,11174,SENGWE  SEC,Masvingo,Secondary,Chiredzi,S3,-22.27505,31.23581
314309.162136829,7679748.93036335,5950,11175,USWAUSHAVA  SEC SCH,Masvingo,Secondary,Chiredzi,S3,-20.9735,31.21382
328561.694863984,7708606.33308951,5951,11176,ZVAMAGAMBA  SECONDARY,Masvingo,Secondary,Chiredzi,S3,-20.71424,31.35371
270843.938208434,7650631.75162537,5952,11177,ALPHA-JOY,Masvingo,Secondary,Mwenezi,S3,-21.2315,30.79205
264639.147975411,7670352.56216108,5953,11178,AVHUNGA,Masvingo,Secondary,Mwenezi,S3,-21.05266,30.73501
188256.755296222,7661447.33190804,5954,11179,CHIVHOMA,Masvingo,Secondary,Mwenezi,S3,-21.12163,29.999
231344.275178954,7607780.9735414,5955,11180,BUBI (MARANDA),Masvingo,Secondary,Mwenezi,S3,-21.61286,30.40491
244208.097157846,7648496.78035525,5956,11181,CHEMVANA  SEC SCHOOL,Masvingo,Secondary,Mwenezi,S3,-21.24722,30.53526
243230.890985388,7642467.25302053,5957,11182,MAHWIRAKURE,Masvingo,Secondary,Mwenezi,S3,-21.30151,30.52494
258642.039044769,7650317.27883404,5958,11183,CHISASE,Masvingo,Secondary,Mwenezi,S3,-21.23276,30.67451
181156.720445619,7674437.65046936,5959,11184,CHOVERERE,Masvingo,Secondary,Mwenezi,S3,-21.0032,29.93313
229735.128747076,7660136.89792744,5960,11185,DENGENYA,Masvingo,Secondary,Mwenezi,S3,-21.14006,30.39775
,,5961,11186,PERSEVERANCE COLLEGE ,Masvingo,Secondary,Gutu,S2,,0
281196.127178412,7680364.11198499,5962,11187,MASVITSI,Masvingo,Secondary,Mwenezi,S3,-20.96431,30.89553
173962.111975471,7660051.58406088,5963,11188,MAYEZI SECONDARY,Masvingo,Secondary,Mwenezi,S3,-21.13173,29.86128
220125.544361035,7669837.5190121,5964,11189,MAZETESE,Masvingo,Secondary,Mwenezi,S3,-21.05106,30.30688
272496.652116343,7667145.22960361,5965,11190,SAGWARI,Masvingo,Secondary,Mwenezi,S3,-21.08261,30.81016
260329.244930278,7662399.9286851,5966,11191,TAFARA,Masvingo,Secondary,Mwenezi,S3,-21.1239,30.69245
281521.517268788,7670500.7618311,5967,11192,MUKUME (TONGENYIKA),Masvingo,Secondary,Mwenezi,S3,-21.05341,30.89741
260114.030281073,7682749.59253805,5968,11193,MASOGWE,Masvingo,Secondary,Mwenezi,S3,-20.94015,30.69321
264363.405643292,7630014.22264911,5969,11194,MASUTURE BAPTIST,Masvingo,Secondary,Mwenezi,S3,-21.41681,30.72678
320928.644370645,7784343.25004294,5970,11195,RUMWANDA,Masvingo,Secondary,Masvingo,S3,-20.02945,31.288
333086.889596363,7720731.49992436,5971,11196,MURERE,Masvingo,Secondary,Zaka,S3,-20.60513,31.3983
326623.558296797,7744987.0105874,5972,11197,JINJIKA,Masvingo,Secondary,Zaka,S3,-20.38546,31.33866
320421.226019183,7773465.12293389,5973,11198,DANDA,Masvingo,Secondary,Zaka,S3,-20.12766,31.28208
,,5974,11199,SHINING STAR COLLEGE,Masvingo,Secondary,Masvingo,S2,,0
358490.119222362,7652369.75473417,5975,11200,CHILONGA,Masvingo,Secondary,Chiredzi,S3,-21.22474,31.63644
,,5976,11202,FRANCIS APHIRI,Masvingo,Primary,Masvingo,P2,,0
,,5977,11203,SUNGUBVI,Masvingo,Primary,Chiredzi,P3,,0
,,5978,11204,MLILO,Masvingo,Primary,Mwenezi,P3,,0
173474.213510871,7656858.5405767,5979,11205,CHISVINE,Masvingo,Primary,Mwenezi,P3,-21.16045,29.85598
,,5980,11206,BANGA,Masvingo,Primary,Chiredzi,P3,,0
,,5981,11207,MASAPWE,Masvingo,Primary,Mwenezi,P3,,0
,,5982,11208,BUFFALO RANGE,Masvingo,Secondary,Chiredzi,S3,,0
,,5983,11209,MUZOGWI RCZ,Masvingo,Secondary,Chivi,S3,,0
,,5984,11210,G & N,Masvingo,Secondary,Mwenezi,S3,,0
,,5985,11211,MFULA,Masvingo,Secondary,Mwenezi,S3,,0
,,5986,11212,G & N MISSION RUSHUMBE,Masvingo,Secondary,Chivi,S3,,0
,,5987,11213,NDALI,Masvingo,Secondary,Chiredzi,S3,,0
248132.116574446,7631502.30232341,5988,11214,MAFOMOTI,Masvingo,Secondary,Mwenezi,S3,-21.40118,30.57052
,,5989,11215,RUVHURE,Masvingo,Secondary,Masvingo,S3,,0
,,5990,11216,BOMBA,Masvingo,Secondary,Chiredzi,S3,,0
,,5991,11217,SHUMBAIRERWA,Masvingo,Secondary,Gutu,S3,,0
,,5992,11218,SAMU,Masvingo,Secondary,Chiredzi,S3,,0
,,5993,11219,CHISHINYA,Masvingo,Secondary,Chiredzi,S3,,0
,,5994,11220,TASHINGA,Masvingo,Primary,Chiredzi,P3,,0
,,5995,11222,PECOM ACADEMY,Masvingo,Secondary,Zaka,S3,,0
,,5996,11223,ST AMBROSE MATIBI,Masvingo,Primary,Mwenezi,P3,,0
,,5997,11224,MUTSUNGWE,Masvingo,Primary,Masvingo,P3,,0
,,5998,11225,ZHOU (MAZORODZE),Masvingo,Primary,Masvingo,P3,,0
,,5999,11227,MABIKA,Masvingo,Secondary,Mwenezi,S3,,0
,,6000,11228,MASASWE,Masvingo,Secondary,Mwenezi,S3,,0
,,6001,11229,VULTURESVALE ACADEMY,Masvingo,Secondary,Masvingo,S2,,0
,,6002,11230,HERENTALS MASVINGO,Masvingo,Secondary,Masvingo,S2,,0
,,6003,11231,MAROTA,Masvingo,Primary,Masvingo,P3,,0
,,6004,11232,UTSINDA CHRISTIAN COLLGE,Masvingo,Secondary,Gutu,S1,,
,,6005,11236,RUNYARARO ADVENTIST,Masvingo,Primary,Masvingo,P2,,0
,,6006,11237,BONDOLFI,Masvingo,Secondary,Masvingo,S3,,0
,,6007,11238,CHAMADENGA,Masvingo,Secondary,Masvingo,S3,,0
,,6008,11239,MALLON COLLEGE,Masvingo,Secondary,Masvingo,S2,,0
,,6009,11240,VISION ACADEMY,Masvingo,Secondary,Masvingo,S2,,0
,,6010,11243,CHINYIKA BOARDING,Masvingo,Primary,Gutu,P3,,0
,,6011,11250,FARMAK PRESCHOOL,Masvingo,Primary,Masvingo,P2,,
,,6012,11251,EDRROVALE COLLEGE,Masvingo,Secondary,Masvingo,S1,,
,,6013,11252,SANDON ACADEMY ,Masvingo,Secondary,Gutu,S2,,
,,6014,11253,EZEKIEL GUTI JUNIOR ,Masvingo,Secondary,Chiredzi,S2,,
,,6015,11254,ROCJHOPPER EDUCATION CENTER ,Masvingo,Secondary,Bikita,S3,,
,,6016,11256,KIDSVILLE PRE-SCHOOL & DAYCARE ,Masvingo,Primary,Chivi,P2,,
,,6017,11257,SAINT LUKE'S PRE-SCHOOL ,Masvingo,Primary,Chivi,P3,,
